BP,No. VP,Nombre Proyecto,Departamento,Municipio,Total beneficiarios,Hombres,Mujeres,Total Víctimas,Valor cofinanciado ADR,Valor encargo fiduciario,Valor total cofinanciación ADR,Valor Contrapartida,Valor total proyecto,Hectáreas,Resolución,Fecha resolución,Vigencia,Lineamiento de consejo directivo
10,10,"Fortalecimiento de la capacidad productiva de 77 pequeños productores de leche ubicados en la Zona La Plancha, del municipio de Anorí - Antioquia",ANTIOQUIA,ANORÍ,77,67,10,40,300533500,N/A,300533500,1314390000,1614923500,77,1305,08/04/2017 12:00:00 AM,2017,N/A
13,13,"Mejoramiento de las capacidades de comercialización de plátano, arroz, carne de cerdo y pollo, mediante la dotación de 1 equipo de secado y 1 para empacado de arroz, 7 embarcaciones, 8 motores fuera de borda, 6 plantas eléctricas y 6 congeladores, para el beneficio de 60 familias de pequeños productores en el municipio de Vigía del Fuerte, departamento de Antioquia",ANTIOQUIA,VIGÍA DEL FUERTE,60,29,31,0,459683250,N/A,459683250,105160125,564843375,1210,1299,08/04/2017 12:00:00 AM,2017,N/A
14,14,"Fortalecimiento de las capacidades productivas de 49 pequeños productores ganaderos de leche del municipio de Anorí, Antioquia; mediante la dotación de equipos para la transformación de leche en queso tipo mozarella",ANTIOQUIA,ANORÍ,49,47,2,20,176999998,N/A,176999998,1197250347,1374250345,2897,1268,07/19/2017 12:00:00 AM,2017,N/A
23,23,"Fortalecer la cadena productiva de café y plátano, a través del suministro de insumos y asistencia técnica en la vereda Llano Grande de Chimiadó del municipio de Dabeiba, Antioquia",ANTIOQUIA,DABEIBA,25,20,5,23,401373250,N/A,401373250,355140000,756513250,69,1351,08/28/2017 12:00:00 AM,2017,N/A
24,24,"Fortalecimiento al proceso de beneficio de café a pequeños productores en las veredas de Santa Lucía, Quindío, Quebrada del medio y Santa Bárbara y sostenimiento de una hectárea de café para cada uno de los 23 beneficiarios de APROCANT, en el municipio de Ituango, Antioquia",ANTIOQUIA,ITUANGO,23,20,3,19,239748000,N/A,239748000,52729500,292477500,23,1261,07/17/2017 12:00:00 AM,2017,N/A
33,33,Fortalecer la cadena productiva de la caña panelera y la actividad de transformación de los productores paneleros ASOPADI del municipio de Ituango - Antioquia,ANTIOQUIA,ITUANGO,12,11,1,0,199200000,N/A,199200000,85226996,284426996,24,1251,07/12/2017 12:00:00 AM,2017,N/A
67,67,"Restablecimiento de las actividades agropecuarias por parte de la comunidad campesina de la vereda Carrizal del municipio de Remedios hoy Zona Veredal Transitoria de Normalización, a través de la implementación de un proyecto productivo en horticultura, gallinas ponedoras y en el perfeccionamiento de la cadena productiva del arroz",ANTIOQUIA,REMEDIOS,51,20,31,24,269932220,N/A,269932220,558387768,828319988,55,156,03/07/2018 12:00:00 AM,2017,N/A
78,78,Desarrollo Agroindustrial Sostenible para el municipio de Angelópolis Antioquia - primera etapa,ANTIOQUIA,ANGELÓPOLIS,77,58,19,17,1383896258,N/A,1383896258,438574500,1822470758,44,204,03/23/2018 12:00:00 AM,2016,N/A
89,89,"Una hectárea para la vida, una hectárea para la paz",ANTIOQUIA,ANDES,100,78,22,13,308754500,N/A,308754500,567300000,876054500,100,208,03/23/2018 12:00:00 AM,2016,N/A
145,145,Fortalecer las capacidades productivas de familias cafeteras en los municipios de Fredonia y Montebello en el departamento de Antioquia,ANTIOQUIA,"FREDONIA, MONTEBELLO",68,43,25,19,627047500,N/A,627047500,263051200,890098700,51,790,09/25/2018 12:00:00 AM,2017,N/A
173,173,"Fortalecer el sistema productivo agropecuario en la subregión del Bajo Cauca, mediante la implementación de un banco de maquinaria agrícola para pequeños y medianos productores de los municipios de Caucasia, Nechí y Tarazá del departamento de Antioquia",ANTIOQUIA,"CAUCASIA, NECHÍ, TARAZÁ",119,74,45,48,1300000000,N/A,1300000000,285456000,1585456000,48,633,08/06/2018 12:00:00 AM,2017,N/A
322,210,"Establecimiento de 34 hectáreas de caña panelera, con 34 familias beneficiarias en el municipio de Uramita Antioquia",ANTIOQUIA,URAMITA,34,27,7,13,300000000,N/A,300000000,211140000,511140000,34,605,08/01/2018 12:00:00 AM,2017,N/A
323,211,"Fortalecimiento en el proceso de producción a través de la construcción de empacadoras, dotación de un kit de herramientas, equipos e insumos y asistencia técnica a 80 familias plataneras para el beneficio directo de 80 hectáreas de plátano hartón del pequeño productor del municipio de San Juan de Urabá antioqueño, mediante la generación de ingresos con enfoque territorial y desarrollo rural",ANTIOQUIA,SAN JUAN DE URABÁ,80,39,41,39,1510249410,N/A,1510249410,725888000,2236137410,80,544,07/17/2018 12:00:00 AM,2017,N/A
183,221,Fortalecimiento de la actividad agrícola en el municipio de Don Matías (Antioquia) a través del establecimiento de cultivos de aguacate Hass,ANTIOQUIA,DON MATÍAS,20,14,6,4,530010000,N/A,530010000,71400000,601410000,20,545,07/17/2018 12:00:00 AM,2017,N/A
348,222,"Fortalecimiento de mujeres cabeza de familia asociada a la cadena productiva de fresa, en el municipio de Yarumal, para el mejoramiento de la producción y la comercialización",ANTIOQUIA,YARUMAL,30,0,30,12,496060000,N/A,496060000,78225000,574285000,5,546,07/17/2018 12:00:00 AM,2017,N/A
402,302,Establecimiento de un centro especializado de cafés diferenciales en el municipio de Cañasgordas para el beneficio del sector caficultor del departamento de Antioquia,ANTIOQUIA,CAÑASGORDAS,345,292,53,78,1932352818,"26,390,566",1958743384,7117568580,9076311964,1,830,11/28/2019 12:00:00 AM,2019,ORDENAMIENTO DE LA PRODUCCIÓN
865,327,"Fortalecimiento en la cadena láctea de los pequeños y medianos productores asociados a la corporación de ganaderos del Norte de Antioquia, mediante la construcción de una planta de transformación e industrialización de leche en la Zona Norte del departamento de Antioquia.",ANTIOQUIA,"BELMIRA, ENTRERRÍOS, SANTA ROSA DE OSOS, SAN JOSÉ DE LA MONTAÑA, YARUMAL Y ANGOSTURA",250,229,21,18,3310959800,N/A,3310959800,8469997579,11780957379,2,10,01/09/2020 12:00:00 AM,2018,ORDENAMIENTO DE LA PRODUCCIÓN
64,64,"Mejoramiento de la capacidad productiva acuícola mediante la producción superintensiva de carne de tilapia roja (Oreochromis sp) con sistema Ras y Biofloc en tanques de geomembrana, en el corregimiento de Playa Las Flores, municipio de Magangue, Bolívar",BOLIVAR,MAGANGUÉ,50,38,12,12,550000000,N/A,550000000,93798000,643798000,0,137,02/28/2018 12:00:00 AM,2016,N/A
70,70,"Mejoramiento de la capacidad productiva acuícola mediante la producción superintensiva de carne de tilapia roja (Oreochromis sp) con sistema Ras y Biofloc en tanques de geomembrana, en el corregimiento de San Sebastián, municipio de Magangue, Bolívar",BOLIVAR,MAGANGUÉ,50,31,19,2,550000000,N/A,550000000,93798000,643798000,0,135,02/28/2018 12:00:00 AM,2016,N/A
621,98,Fortalecimiento y consolidación de la apicultura como alternativa de promoción del desarrollo productivo en los Montes de María en el departamento de Bolívar,BOLIVAR,"CARMEN DE BOLÍVAR, SAN JACINTO",160,130,30,138,2000000000,N/A,2000000000,1075386667,3075386667,160,349,05/22/2018 12:00:00 AM,2016,N/A
124,124,Mejorar las capacidades productivas y generación de ingresos a pequeños productores rurales a través del cultivo de plátano hartón dominíco en el municipio de Clemencia Bolívar,BOLIVAR,CLEMENCIA,200,179,21,45,2000000000,N/A,2000000000,575750000,2575750000,200,139,02/28/2018 12:00:00 AM,2017,N/A
471,127,Mejorar los procesos productivos y de comercialización láctea mediante la renovación de praderas y la dotación de equipos e insumos a 163 pequeños ganaderos del municipio de Mahates y San Jacinto del departamento de Bolívar,BOLIVAR,"MAHATES, SAN JACINTO",163,137,26,66,2000000000,N/A,2000000000,337410000,2337410000,326,240,04/11/2018 12:00:00 AM,2016,N/A
148,148,"Fortalecer las capacidades productivas de pequeños productores de maíz de los municipios de San Juan de Nepomuceno y San Jacinto en los Montes de María, departamento de Bolívar",BOLIVAR,"SAN JACINTO, SAN JUAN NEPOMUCENO",205,205,0,182,1979133000,N/A,1979133000,445252000,2424385000,820,505,07/09/2018 12:00:00 AM,2017,N/A
157,157,"Mejoramiento del ingreso de los pequeños productores a través del desarrollo tecnificado de los cultivos de plátano hartón asociado con maíz amarillo en los municipios de Carmen de Bolívar, San Juan Nepomuceno y San Jacinto en el departamento de Bolívar",BOLIVAR,"CARMEN DE BOLÍVAR, SAN JUAN NEPOMUCENO Y SAN JACINTO",133,133,0,123,2143671000,N/A,2143671000,296640000,2440311000,119,543,07/17/2018 12:00:00 AM,2017,N/A
341,215,"Fortalecimiento de las capacidades técnicas y productivas a través del desarrollo tecnificado de los cultivos de yuca dulce asociados con maíz, beneficiando a pequeños productores pertenecientes en los municipios San Fernando, Talaigua y Mompox en el departamento de Bolívar.",BOLIVAR,"SAN FERNANDO, TALAIGUA, MOMPOX",137,137,0,10,2400349786,N/A,2400349786,867210000,3267559786,540,637,08/06/2018 12:00:00 AM,2017,N/A
352,226,Repoblamiento bovino con novillas de vientre doble propósito en los municipios del Guamo y Calamar en departamento de Bolívar,BOLIVAR,"CALAMAR, EL GUAMO",159,159,0,69,2270000490,N/A,2270000490,333900000,2603900490,318,636,08/06/2018 12:00:00 AM,2017,N/A
390,261,"Fortalecmiento de la cadena productiva del cultivo de arroz mediante la entrega de un banco de maquinaria, fortalecimiento empresarial y capacitación técnica a pequeños productore de los municipios de Achí, San Jacinto del Cauca y María la Baja, en el departamento de Bolívar",BOLIVAR,"ACHI, SAN JACINTO DEL CAUCA, MARÍA LA BAJA",149,120,29,60,2400000000,N/A,2400000000,543277000,2943277000,1,724,09/11/2018 12:00:00 AM,2017,N/A
